#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
7.0,458.0,158806.0,158806.45
6.0,445.0,158807.0,158807.44
5.0,570.0,158817.0,158817.56
4.0,563.0,158818.0,158818.56
3.0,683.0,158828.0,158828.69
2.0,624.0,158833.0,158833.62
1.0,802.0,158839.0,158839.8
0.0,790.0,158840.0,158840.8
7.0,914.0,158850.0,158850.9
6.0,901.0,158851.0,158851.9
5.0,25.0,158862.0,158862.03
4.0,16.0,158863.0,158863.02
3.0,138.0,158873.0,158873.14
2.0,79.0,158878.0,158878.08
1.0,257.0,158884.0,158884.25
0.0,245.0,158885.0,158885.25
7.0,369.0,158895.0,158895.38
6.0,356.0,158896.0,158896.36
5.0,481.0,158906.0,158906.48
4.0,474.0,158907.0,158907.47
3.0,594.0,158917.0,158917.6
2.0,535.0,158922.0,158922.53
1.0,713.0,158928.0,158928.72
0.0,701.0,158929.0,158929.7
7.0,825.0,158939.0,158939.83
6.0,812.0,158940.0,158940.81
5.0,936.0,158950.0,158950.94
4.0,928.0,158951.0,158951.92
3.0,49.0,158962.0,158962.05
2.0,990.0,158966.0,158966.98
MARK 014
5.0,914.0,161973.0,161973.9
4.0,905.0,161974.0,161974.9
3.0,27.0,161985.0,161985.03
2.0,967.0,161989.0,161989.97
1.0,146.0,161996.0,161996.14
0.0,134.0,161997.0,161997.14
7.0,258.0,162007.0,162007.27
6.0,245.0,162008.0,162008.25
5.0,370.0,162018.0,162018.38
4.0,362.0,162019.0,162019.36
3.0,483.0,162029.0,162029.48
2.0,424.0,162034.0,162034.42
1.0,602.0,162040.0,162040.61
0.0,590.0,162041.0,162041.6
7.0,714.0,162051.0,162051.72
6.0,701.0,162052.0,162052.7
5.0,825.0,162062.0,162062.83
4.0,816.0,162063.0,162063.81
3.0,938.0,162073.0,162073.94
2.0,878.0,162078.0,162078.88
1.0,57.0,162085.0,162085.06
0.0,45.0,162086.0,162086.05
7.0,169.0,162096.0,162096.17
6.0,156.0,162097.0,162097.16
5.0,281.0,162107.0,162107.28
4.0,273.0,162108.0,162108.27
3.0,394.0,162118.0,162118.39
2.0,335.0,162123.0,162123.33
1.0,513.0,162129.0,162129.52
0.0,501.0,162130.0,162130.5
MARK 015
3.0,372.0,165141.0,165141.38
2.0,313.0,165146.0,165146.31
1.0,491.0,165152.0,165152.48
0.0,479.0,165153.0,165153.48
7.0,603.0,165163.0,165163.61
6.0,590.0,165164.0,165164.6
